Marca temporal,1. Tipo de entidad en la que labora,2. Área funcional principal,3. Antigüedad en la organización,4. Mi organización lanza nuevas herramientas digitales antes que la mayoría de las instituciones financieras del país.,"5. Mi organización invierte de manera visible en probar herramientas digitales nuevas como aplicaciones, plataformas o servicios en línea.",6. Los procesos internos para aprobar nuevas herramientas digitales en mi organización son rápidos.,7. Las decisiones sobre adoptar nuevas tecnologías avanzan al ritmo que el negocio necesita.,8. En mi organización las herramientas digitales se actualizan y mejoran con frecuencia.,9. Los equipos de tecnología y las demás áreas trabajan juntos de forma fluida cuando se lanzan nuevas soluciones digitales.,10. Los sistemas que utilizo en mi trabajo están conectados entre sí y comparten información de manera fluida.,11. Mi organización puede incorporar nuevas funciones digitales sin grandes esfuerzos ni esperas prolongadas.,"12. Las decisiones internas, las políticas y los procesos de mi organización dificultan más que facilitan la adopción de nuevas tecnologías.",13. En mi organización existen mecanismos efectivos para resolver desacuerdos entre áreas cuando un proyecto digital las involucra a varias.,14. Mi organización cuenta con personas que tienen las habilidades digitales que el negocio necesita.,"15. En general, mi organización ha avanzado de manera efectiva en su transformación digital.",Comentario libre (opcional). ¿Hay algo importante sobre la transformación digital de su organización que esta encuesta no haya capturado?
8/5/2026 23:13:46,Mutual,Gerencia / Administración,Menos de 1 año,5,4,4,4,3,4,4,1,5,2,5,4,
8/5/2026 23:18:27,Mutual,Otra,De 3 a 10 años,2,3,5,4,5,3,5,4,4,5,4,5,
8/5/2026 23:21:50,Entidad financiera no bancaria,Gerencia / Administración,Más de 10 años,5,5,5,5,5,2,3,3,4,5,5,5,
9/5/2026 0:24:23,Entidad financiera no bancaria,Comercial / Atención al cliente,Más de 10 años,4,3,3,2,5,4,2,4,4,5,3,2,
9/5/2026 0:28:25,Entidad financiera no bancaria,Tecnología / Sistemas,De 1 a 3 años,2,5,5,5,4,2,2,5,4,5,5,3,
9/5/2026 1:05:41,Mutual,Otra,De 3 a 10 años,5,5,1,1,4,5,2,5,2,3,4,5,
9/5/2026 1:09:08,Entidad financiera no bancaria,Gerencia / Administración,De 1 a 3 años,4,4,4,4,3,5,4,4,5,4,4,5,
9/5/2026 1:17:28,Cooperativa de ahorro y crédito,Otra,Menos de 1 año,3,5,3,4,5,4,3,4,4,3,4,3,
9/5/2026 1:22:11,Entidad financiera no bancaria,Gerencia / Administración,De 1 a 3 años,2,3,5,2,1,5,3,2,2,5,2,5,
9/5/2026 1:27:03,Entidad financiera no bancaria,Otra,Menos de 1 año,4,3,5,3,4,5,1,2,3,2,5,5,
9/5/2026 11:32:46,Cooperativa de ahorro y crédito,Comercial / Atención al cliente,Menos de 1 año,3,2,5,4,4,5,4,4,5,5,5,3,
9/5/2026 11:37:17,Mutual,Operaciones,Más de 10 años,3,4,4,4,5,4,4,3,5,5,5,5,
9/5/2026 11:40:05,Cooperativa de ahorro y crédito,Gerencia / Administración,De 1 a 3 años,3,1,5,2,2,3,4,3,3,5,1,2,
9/5/2026 11:42:58,Entidad financiera no bancaria,Tecnología / Sistemas,Menos de 1 año,4,2,5,4,5,4,4,3,3,5,4,5,
9/5/2026 11:47:23,Entidad financiera no bancaria,Gerencia / Administración,De 1 a 3 años,5,3,3,1,5,5,1,5,4,3,4,5,
9/5/2026 11:52:26,Banco privado,Otra,Más de 10 años,1,4,5,5,3,2,5,4,4,5,4,3,
9/5/2026 11:56:32,Cooperativa de ahorro y crédito,Comercial / Atención al cliente,De 3 a 10 años,5,3,4,3,2,3,2,4,1,5,5,5,
9/5/2026 11:59:13,Entidad financiera no bancaria,Otra,De 1 a 3 años,5,2,4,4,5,4,4,4,4,5,5,3,
9/5/2026 12:02:16,Entidad financiera no bancaria,Gerencia / Administración,De 1 a 3 años,5,4,4,3,4,4,4,5,2,2,4,2,
9/5/2026 12:06:46,Cooperativa de ahorro y crédito,Gerencia / Administración,De 1 a 3 años,3,4,4,3,4,4,5,1,4,5,4,5,
9/5/2026 12:10:35,Entidad financiera no bancaria,Comercial / Atención al cliente,Más de 10 años,1,4,1,4,2,4,3,4,5,5,2,4,
9/5/2026 12:14:15,Mutual,Gerencia / Administración,De 3 a 10 años,5,5,2,4,2,5,5,2,5,5,1,5,
9/5/2026 12:19:12,Entidad financiera no bancaria,Tecnología / Sistemas,De 1 a 3 años,5,4,5,4,4,5,5,4,3,5,4,1,
9/5/2026 12:24:10,Entidad financiera no bancaria,Otra,De 1 a 3 años,5,4,1,2,4,5,4,5,3,5,3,5,
9/5/2026 12:27:08,Entidad financiera no bancaria,Gerencia / Administración,De 1 a 3 años,4,5,4,5,4,4,4,4,5,4,3,4,
9/5/2026 12:30:38,Entidad financiera no bancaria,Gerencia / Administración,De 3 a 10 años,1,5,4,3,5,3,5,4,4,5,5,4,
9/5/2026 12:35:07,Mutual,Comercial / Atención al cliente,De 3 a 10 años,4,5,3,4,4,3,5,4,2,5,2,4,
9/5/2026 12:39:25,Banco público,Otra,Menos de 1 año,4,5,2,2,5,5,4,3,4,3,3,4,
9/5/2026 12:43:16,Entidad financiera no bancaria,Otra,De 3 a 10 años,3,2,4,4,1,5,5,4,5,5,5,4,
9/5/2026 12:48:09,Cooperativa de ahorro y crédito,Gerencia / Administración,Más de 10 años,4,2,4,4,5,5,4,5,3,4,4,5,
9/5/2026 12:52:23,Entidad financiera no bancaria,Tecnología / Sistemas,Menos de 1 año,4,4,5,4,4,3,4,5,5,4,5,3,
9/5/2026 12:56:32,Entidad financiera no bancaria,Gerencia / Administración,De 3 a 10 años,5,3,2,2,5,3,5,5,4,5,4,4,
9/5/2026 13:02:00,Cooperativa de ahorro y crédito,Tecnología / Sistemas,De 3 a 10 años,5,2,4,2,3,4,5,5,1,4,4,5,
9/5/2026 13:10:26,Cooperativa de ahorro y crédito,Gerencia / Administración,Más de 10 años,4,3,4,5,3,5,4,2,4,4,4,5,
9/5/2026 13:11:47,Cooperativa de ahorro y crédito,Otra,De 1 a 3 años,5,4,5,5,4,4,4,3,4,5,4,5,
9/5/2026 13:13:28,Cooperativa de ahorro y crédito,Otra,Más de 10 años,5,5,5,5,4,5,5,4,5,4,2,4,
9/5/2026 13:15:08,Banco público,Comercial / Atención al cliente,De 3 a 10 años,5,4,1,3,4,4,2,3,4,5,5,5,
9/5/2026 13:22:40,Banco privado,Otra,Más de 10 años,5,5,2,4,4,4,5,5,4,2,5,3,
9/5/2026 13:45:41,Banco privado,Gerencia / Administración,De 1 a 3 años,4,4,3,4,4,5,5,3,4,4,4,1,
9/5/2026 13:45:54,Cooperativa de ahorro y crédito,Otra,De 3 a 10 años,5,4,4,4,3,2,5,5,4,4,5,3,
14/5/2026 7:13:30,Mutual,Otra,De 1 a 3 años,4,4,4,2,5,5,5,3,5,4,2,5,
14/5/2026 7:16:47,Mutual,Otra,De 1 a 3 años,5,3,3,4,3,4,5,5,5,5,2,3,
14/5/2026 7:20:49,Cooperativa de ahorro y crédito,Otra,De 1 a 3 años,5,3,4,4,4,1,2,3,4,1,3,5,
14/5/2026 7:24:44,Mutual,Comercial / Atención al cliente,De 1 a 3 años,3,5,5,5,1,5,3,3,2,5,4,5,
14/5/2026 7:29:08,Entidad financiera no bancaria,Otra,Más de 10 años,5,5,4,3,5,5,4,5,4,4,3,2,
14/5/2026 7:33:26,Cooperativa de ahorro y crédito,Gerencia / Administración,Más de 10 años,4,1,5,5,5,3,5,3,3,3,3,2,
14/5/2026 7:39:17,Banco público,Tecnología / Sistemas,Más de 10 años,4,3,4,5,5,4,5,1,5,4,5,3,
14/5/2026 7:43:22,Banco privado,Tecnología / Sistemas,Más de 10 años,1,4,4,5,5,4,2,1,5,5,5,2,
14/5/2026 8:02:36,Banco público,Operaciones,De 1 a 3 años,5,5,4,5,4,3,3,4,4,5,5,3,
14/5/2026 8:08:54,Banco público,Tecnología / Sistemas,De 3 a 10 años,5,5,4,3,4,1,2,5,4,5,3,5,
14/5/2026 8:13:41,Banco público,Operaciones,De 3 a 10 años,3,4,5,1,4,5,5,5,4,2,4,3,
14/5/2026 8:18:51,Banco privado,Tecnología / Sistemas,Más de 10 años,3,4,5,4,4,5,3,3,5,5,3,4,
14/5/2026 8:22:28,Banco público,Operaciones,Más de 10 años,5,5,4,4,4,4,2,3,5,4,4,5,
14/5/2026 8:25:57,Banco privado,Tecnología / Sistemas,De 3 a 10 años,2,4,1,4,2,5,5,5,5,4,4,5,
14/5/2026 8:29:21,Banco público,Operaciones,De 3 a 10 años,4,5,3,4,4,5,1,5,4,4,3,4,
14/5/2026 8:32:49,Banco privado,Operaciones,Más de 10 años,1,4,5,4,3,5,4,1,5,2,4,3,
14/5/2026 8:36:29,Banco privado,Tecnología / Sistemas,De 3 a 10 años,5,5,5,2,2,1,1,1,2,4,4,4,
14/5/2026 8:40:04,Banco público,Operaciones,De 3 a 10 años,2,4,3,5,5,4,4,4,2,4,5,1,
14/5/2026 8:45:44,Banco privado,Tecnología / Sistemas,Más de 10 años,5,4,4,5,4,4,3,4,5,5,4,1,
14/5/2026 8:50:25,Banco privado,Tecnología / Sistemas,De 1 a 3 años,4,4,2,5,5,5,5,4,4,5,3,5,
14/5/2026 8:54:52,Banco público,Operaciones,De 3 a 10 años,5,4,4,5,2,4,5,5,5,4,5,3,
14/5/2026 9:18:08,Banco público,Tecnología / Sistemas,Más de 10 años,4,5,4,5,5,4,5,3,4,1,4,3,
14/5/2026 9:37:33,Banco privado,Operaciones,Menos de 1 año,4,5,4,3,3,5,5,5,4,2,4,4,
14/5/2026 9:42:51,Banco público,Operaciones,De 1 a 3 años,5,3,5,2,4,4,1,1,1,2,4,1,
14/5/2026 9:46:50,Banco privado,Tecnología / Sistemas,De 3 a 10 años,5,4,2,2,3,4,5,5,5,3,4,4,
14/5/2026 9:50:51,Banco privado,Tecnología / Sistemas,De 3 a 10 años,4,4,4,5,4,2,4,5,4,5,4,1,
14/5/2026 9:55:20,Banco privado,Tecnología / Sistemas,De 1 a 3 años,4,5,5,4,5,5,5,4,2,3,5,4,
14/5/2026 10:00:07,Banco público,Operaciones,Menos de 1 año,5,4,5,4,5,4,5,2,4,4,3,5,
14/5/2026 10:04:20,Banco privado,Tecnología / Sistemas,De 3 a 10 años,5,3,4,5,3,5,5,3,5,5,3,2,
14/5/2026 10:09:32,Banco privado,Tecnología / Sistemas,De 3 a 10 años,4,2,4,4,5,3,5,4,5,5,4,5,
14/5/2026 10:13:19,Banco privado,Operaciones,Más de 10 años,3,4,4,4,5,3,4,3,2,2,4,5,
14/5/2026 10:17:50,Banco público,Operaciones,De 1 a 3 años,5,2,3,5,1,4,4,3,4,4,4,4,
14/5/2026 10:22:51,Banco privado,Operaciones,Más de 10 años,2,3,5,5,5,4,3,5,4,5,5,4,
14/5/2026 10:27:38,Banco privado,Operaciones,Más de 10 años,4,1,4,1,4,4,5,4,3,4,3,5,
14/5/2026 10:32:59,Banco privado,Operaciones,De 3 a 10 años,1,5,5,4,4,4,4,5,2,1,4,3,
14/5/2026 10:37:24,Banco privado,Tecnología / Sistemas,Más de 10 años,3,4,4,1,1,1,1,5,5,5,4,3,
14/5/2026 10:41:12,Banco público,Tecnología / Sistemas,Más de 10 años,4,3,4,3,5,5,4,5,4,4,1,4,
14/5/2026 10:46:41,Banco privado,Comercial / Atención al cliente,Más de 10 años,4,4,1,4,4,5,4,4,4,4,5,4,
14/5/2026 10:50:41,Banco privado,Comercial / Atención al cliente,De 3 a 10 años,3,5,5,5,4,2,4,5,3,3,4,4,
14/5/2026 11:20:52,Banco privado,Comercial / Atención al cliente,De 1 a 3 años,5,5,4,5,5,5,5,4,4,5,4,1,
14/5/2026 11:45:02,Banco privado,Tecnología / Sistemas,Más de 10 años,4,5,4,3,4,3,4,4,4,5,5,4,
14/5/2026 11:49:42,Banco privado,Tecnología / Sistemas,De 3 a 10 años,5,5,1,4,3,5,4,2,4,5,1,4,
14/5/2026 11:53:02,Banco privado,Tecnología / Sistemas,De 3 a 10 años,4,3,4,5,4,5,5,3,3,2,5,3,
14/5/2026 11:58:05,Banco privado,Comercial / Atención al cliente,De 3 a 10 años,1,5,2,3,2,4,4,5,3,5,1,5,
14/5/2026 12:01:53,Banco privado,Tecnología / Sistemas,De 3 a 10 años,4,3,4,1,5,2,3,5,2,5,5,5,
14/5/2026 12:07:19,Banco privado,Comercial / Atención al cliente,De 3 a 10 años,4,2,4,5,5,2,5,2,3,2,4,3,
14/5/2026 12:12:39,Banco privado,Comercial / Atención al cliente,De 3 a 10 años,1,4,1,5,5,4,4,5,4,2,5,5,
14/5/2026 12:16:23,Banco privado,Comercial / Atención al cliente,De 3 a 10 años,5,4,4,4,4,4,4,5,4,3,4,4,
14/5/2026 12:20:27,Banco privado,Tecnología / Sistemas,De 3 a 10 años,3,2,5,4,5,5,5,4,4,4,4,4,
14/5/2026 12:25:04,Banco privado,Comercial / Atención al cliente,De 3 a 10 años,2,1,5,3,5,1,5,4,5,4,5,5,
14/5/2026 12:27:57,Banco privado,Tecnología / Sistemas,De 3 a 10 años,4,4,5,4,4,4,5,5,5,5,4,4,
14/5/2026 12:32:51,Banco privado,Comercial / Atención al cliente,De 3 a 10 años,5,4,5,5,4,2,5,5,4,2,4,4,
14/5/2026 12:37:36,Banco privado,Comercial / Atención al cliente,De 3 a 10 años,5,4,5,5,5,5,5,5,5,5,4,2,
14/5/2026 12:42:02,Banco privado,Comercial / Atención al cliente,De 1 a 3 años,5,5,5,4,4,3,3,4,3,4,4,4,
14/5/2026 12:52:42,Banco privado,Comercial / Atención al cliente,De 1 a 3 años,3,1,5,5,5,2,3,5,5,4,5,2,
14/5/2026 12:56:17,Banco privado,Tecnología / Sistemas,De 3 a 10 años,3,4,4,3,4,3,1,4,1,4,4,5,
14/5/2026 13:03:37,Banco privado,Tecnología / Sistemas,De 1 a 3 años,2,5,5,4,5,5,3,5,4,2,3,2,
14/5/2026 13:07:54,Banco privado,Comercial / Atención al cliente,De 3 a 10 años,5,5,1,5,5,5,5,4,3,4,4,5,
